id;name;score;episodes;aired;broadcast;source;duration;ranked;members;studios;genres;recomendation
0;Fullmetal Alchemist: Brotherhood;9.25;64;Apr 5, 2009 to Jul 4, 2010;Sundays at 17:00 (JST);Manga;24 min. per ep.;2;1,029,191;Bones;Action|Military|Adventure|Comedy|Drama|Magic|Fantasy|Shounen;Hunter x Hunter (2011)<>68 Users|Shingeki no Kyojin<>23 Users|D.Gray-man<>15 Users|Code Geass: Hangyaku no Lelouch<>13 Users|Baccano!<>13 Users|Ao no Exorcist<>12 Users|Akame ga Kill!<>7 Users|Nanatsu no Taizai<>7 Users|Magi: The Labyrinth of Magic<>7 Users|Fate/Zero<>6 Users|Naruto: Shippuuden<>6 Users|Soul Eater<>5 Users|Yuu☆Yuu☆Hakusho<>4 Users|Gin no Saji<>4 Users|Magi: The Kingdom of Magic<>4 Users|Darker than Black: Kuro no Keiyakusha<>4 Users|Eureka Seven<>4 Users|Mahou Shoujo Madoka★Magica<>4 Users|Neon Genesis Evangelion<>3 Users|Made in Abyss<>3 Users|Death Note<>3 Users|Tengen Toppa Gurren Lagann<>3 Users|Busou Renkin<>3 Users|Fairy Tail<>3 Users
1;Kimi no Na wa.;9.23;1;Aug 26, 2016;None;Original;1 hr. 46 min.;2;535,366;CoMix Wave Films;Supernatural|Drama|Romance|School;Kokoro Connect<>21 Users|Byousoku 5 Centimeter<>12 Users|Charlotte<>9 Users|Toki wo Kakeru Shoujo<>9 Users|Koe no Katachi<>9 Users|Suzumiya Haruhi no Shoushitsu<>5 Users|Yamada-kun to 7-nin no Majo (TV)<>4 Users|Kotonoha no Niwa<>4 Users|Shigatsu wa Kimi no Uso<>3 Users|Angel Beats!<>3 Users|Boku dake ga Inai Machi<>3 Users|Clannad: After Story<>3 Users|Steins,Gate Movie: Fuka Ryouiki no Déjà vu<>3 Users|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.<>2 Users|Zetsuen no Tempest<>2 Users|Tokyo Magnitude 8.0<>2 Users|Sakasama no Patema<>2 Users|Steins,Gate<>2 Users|Shelter<>2 Users|Da Yu Hai Tang<>2 Users|Orange<>2 Users|Midori no Hibi<>2 Users|Golden Time<>1 User|Tamako Love Story<>1 User
2;Gintama°;9.19;51;Apr 8, 2015 to Mar 30, 2016;Wednesdays at 18:00 (JST);Manga;24 min. per ep.;2;166,894;Bandai Namco Pictures;Action|Comedy|Historical|Parody|Samurai|Sci-Fi|Shounen;SKET Dance<>3 Users|Baka to Test to Shoukanjuu<>2 Users|One Punch Man<>2 Users|Noragami<>1 User|Steins,Gate<>1 User|Code Geass: Hangyaku no Lelouch R2<>1 User|Kono Subarashii Sekai ni Shukufuku wo! 2<>1 User|Trigun<>1 User|JoJo no Kimyou na Bouken: Diamond wa Kudakenai<>1 User|Danshi Koukousei no Nichijou<>1 User|Drifters<>1 User|Heppoko Jikken Animation Excel♥Saga<>1 User
3;Steins:Gate;9.15;24;Apr 6, 2011 to Sep 14, 2011;Wednesdays at 02:05 (JST);Visual novel;24 min. per ep.;2;874,000;White Fox;Sci-Fi|Thriller;Boku dake ga Inai Machi<>79 Users|Re:Zero kara Hajimeru Isekai Seikatsu<>64 Users|Mahou Shoujo Madoka★Magica<>33 Users|Mirai Nikki (TV)<>25 Users|Toki wo Kakeru Shoujo<>22 Users|NHK ni Youkoso!<>15 Users|Higurashi no Naku Koro ni Kai<>13 Users|Noein: Mou Hitori no Kimi e<>11 Users|Death Note<>11 Users|Higurashi no Naku Koro ni<>11 Users|Higashi no Eden<>9 Users|Mawaru Penguindrum<>8 Users|Zetsuen no Tempest<>7 Users|Durarara!!<>7 Users|Ushinawareta Mirai wo Motomete<>6 Users|Suzumiya Haruhi no Shoushitsu<>6 Users|Zankyou no Terror<>6 Users|Arata naru Sekai: World's/Start/Load/End<>5 Users|Sakurada Reset<>5 Users|ChäoS,HEAd<>5 Users|Orange<>5 Users|Clannad: After Story<>5 Users|Robotics,Notes<>5 Users|Kokoro Connect<>4 Users
4;Gintama';9.13;51;Apr 4, 2011 to Mar 26, 2012;Mondays at 18:00 (JST);Manga;24 min. per ep.;2;191,248;Sunrise;Action|Sci-Fi|Comedy|Historical|Parody|Samurai|Shounen;SKET Dance<>4 Users|Danshi Koukousei no Nichijou<>2 Users|Hataraku Maou-sama!<>1 User|InuYasha<>1 User|No Game No Life<>1 User|Binbougami ga!<>1 User|Bakumatsu Gijinden Roman<>1 User|School Rumble<>1 User|Sakigake!! Cromartie Koukou<>1 User|Beelzebub<>1 User|Arakawa Under the Bridge<>1 User|Hayate no Gotoku!!<>1 User|Bleach<>1 User|Hayate no Gotoku!<>1 User
5;Hunter x Hunter (2011);9.12;148;Oct 2, 2011 to Sep 24, 2014;Sundays at 10:55 (JST);Manga;23 min. per ep.;2;603,641;Madhouse;Action|Adventure|Super Power|Shounen;Fullmetal Alchemist: Brotherhood<>68 Users|One Piece<>31 Users|Yuu☆Yuu☆Hakusho<>21 Users|Naruto<>20 Users|Magi: The Labyrinth of Magic<>17 Users|Made in Abyss<>15 Users|Boku no Hero Academia<>11 Users|One Punch Man<>9 Users|JoJo no Kimyou na Bouken (TV)<>8 Users|JoJo no Kimyou na Bouken: Stardust Crusaders<>8 Users|Naruto: Shippuuden<>8 Users|Dragon Ball<>8 Users|Shingeki no Kyojin<>7 Users|Fairy Tail<>6 Users|Katekyo Hitman Reborn!<>5 Users|Bleach<>4 Users|Death Note<>4 Users|Nanatsu no Taizai<>4 Users|Dragon Ball Z<>4 Users|Mahou Shoujo Madoka★Magica<>4 Users|Pokemon<>3 Users|Gintama<>3 Users|Akame ga Kill!<>3 Users|Toriko<>3 Users
6;Ginga Eiyuu Densetsu;9.1;110;Jan 8, 1988 to Mar 17, 1997;None;Novel;26 min. per ep.;2;105,563;Magic Bus;Military|Sci-Fi|Space|Drama;Code Geass: Hangyaku no Lelouch<>15 Users|Mahouka Koukou no Rettousei<>9 Users|Death Note<>8 Users|Tytania<>7 Users|Kenpuu Denki Berserk<>5 Users|Monster<>5 Users|Versailles no Bara<>5 Users|Seikai no Monshou<>5 Users|Terra e... (TV)<>4 Users|Souten Kouro<>3 Users|Uchuu Senkan Yamato 2199<>3 Users|Hyouge Mono<>3 Users|Turn A Gundam<>2 Users|Musekinin Kanchou Tylor<>2 Users|Aldnoah.Zero<>2 Users|Macross: Do You Remember Love?<>2 Users|Arslan Senki<>2 Users|Maoyuu Maou Yuusha<>2 Users|Fate/Zero<>2 Users|Magic Knight Rayearth II<>2 Users|Mobile Suit Gundam Wing<>2 Users|Mobile Suit Gundam 00<>2 Users|Code Geass: Hangyaku no Lelouch R2<>2 Users|Nejimaki Seirei Senki: Tenkyou no Alderamin<>2 Users
7;Owarimonogatari 2nd Season;9.1;7;Aug 12, 2017 to Aug 13, 2017;Not scheduled once per week;Light novel;22 min. per ep.;2;78,817;Shaft;Mystery|Comedy|Supernatural;Kizumonogatari III: Reiketsu-hen<>AutoRec|Kizumonogatari II: Nekketsu-hen<>AutoRec|Kizumonogatari I: Tekketsu-hen<>AutoRec|Kono Subarashii Sekai ni Shukufuku wo! 2<>AutoRec|Kimi no Na wa.<>AutoRec|Shingeki no Kyojin Season 2<>AutoRec|Koe no Katachi<>AutoRec|Owarimonogatari<>AutoRec|Kobayashi-san Chi no Maid Dragon<>AutoRec|Re:Zero kara Hajimeru Isekai Seikatsu<>AutoRec
8;Gintama': Enchousen;9.08;13;Oct 4, 2012 to Mar 28, 2013;Thursdays at 18:00 (JST);Manga;24 min. per ep.;2;107,426;Sunrise;Action|Comedy|Historical|Parody|Samurai|Sci-Fi|Shounen;Ixion Saga DT<>2 Users|Danshi Koukousei no Nichijou<>1 User|Noragami<>1 User|SKET Dance<>1 User|Sakigake!! Cromartie Koukou<>1 User
9;Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare;9.06;1;Jul 6, 2013;None;Manga;1 hr. 50 min.;2;93,581;Sunrise;Action|Sci-Fi|Comedy|Historical|Parody|Samurai|Shounen;Steins,Gate Movie: Fuka Ryouiki no Déjà vu<>2 Users|Suzumiya Haruhi no Shoushitsu<>2 Users|Naruto: Shippuuden Movie 6 - Road to Ninja<>1 User|Gintama<>AutoRec|Gintama'<>AutoRec|Gintama°<>AutoRec|Gintama': Enchousen<>AutoRec|One Punch Man<>AutoRec|Shingeki no Kyojin<>AutoRec|Fullmetal Alchemist: Brotherhood<>AutoRec|Hunter x Hunter (2011)<>AutoRec|Steins,Gate<>AutoRec|Gintama Movie: Shinyaku Benizakura-hen<>AutoRec
